top - 09:54:55 up 44 days, 27 min,  1 user,  load average: 1.24, 1.02, 0.88
Tasks: 382 total,   1 running, 304 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13.4 us,  5.7 sy,  0.1 ni, 79.6 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st
KiB Mem : 16251892 total,   556224 free,  6461480 used,  9234188 buff/cache
KiB Swap:  2097148 total,  1555884 free,   541264 used.  8962312 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3401 andrew    20   0  616020  44276  15364 S  26.3  0.3  72:11.53 /usr/bin/python3 /usr/bin/touchpad-indicator
 2760 andrew    20   0 1051188  86504  57748 S  21.1  0.5 161:07.38 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
18320 andrew    20   0   44372   4304   3480 R  15.8  0.0   0:00.06 top -b -c
 1524 andrew    20   0  725884  42392  28736 S   5.3  0.3   0:59.24 /usr/lib/gnome-terminal/gnome-terminal-server
 2786 andrew    20   0  560848   4264   2592 S   5.3  0.0   0:15.36 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 2916 andrew    20   0 4313528 439536 105128 S   5.3  2.7 185:35.17 /usr/bin/gnome-shell
 2961 andrew    20   0  357600   8556   3184 S   5.3  0.1   8:58.68 ibus-daemon --xim --panel disable
 3093 andrew    20   0  670812  26252   6088 S   5.3  0.2  38:20.90 /usr/lib/gnome-settings-daemon/gsd-color
 3166 andrew    20   0 7518976 166932  53868 S   5.3  1.0  80:34.86 /usr/share/teams/teams --disable-namespace-sandbox --disable-setuid-sandbox
 3344 andrew    20   0 13.670g 315956  55036 S   5.3  1.9 909:34.13 /usr/share/teams/teams --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-+
 3575 andrew    20   0 16.790g 340368 178056 S   5.3  2.1  21:59.64 /opt/google/chrome/chrome --enable-crashpad
